Date,Price
"Aug 01, 2018",1216.6
"Jul 31, 2018",1223.7
"Jul 30, 2018",1221.3
"Jul 27, 2018",1222.2
"Jul 26, 2018",1225.3
"Jul 25, 2018",1233
"Jul 24, 2018",1225.3
"Jul 23, 2018",1224
"Jul 20, 2018",1229.5
"Jul 19, 2018",1222.4
"Jul 18, 2018",1226.3
"Jul 17, 2018",1225.7
"Jul 16, 2018",1238.1
"Jul 13, 2018",1239.6
"Jul 12, 2018",1245
"Jul 11, 2018",1242.8
"Jul 10, 2018",1253.8
"Jul 09, 2018",1258.1
"Jul 06, 2018",1254.3
"Jul 05, 2018",1257.3
"Jul 04, 2018",1258.1
"Jul 03, 2018",1251.6
"Jul 02, 2018",1239.8
"Jun 29, 2018",1251.3
"Jun 28, 2018",1247.8
"Jun 27, 2018",1252.8
"Jun 26, 2018",1256.6
"Jun 25, 2018",1265.6
"Jun 22, 2018",1267.4
"Jun 21, 2018",1267.2
"Jun 20, 2018",1271.2
"Jun 19, 2018",1275.6
"Jun 18, 2018",1276.2
"Jun 15, 2018",1274.6
"Jun 14, 2018",1304
"Jun 13, 2018",1296.9
"Jun 12, 2018",1295.1
"Jun 11, 2018",1298.9
"Jun 08, 2018",1298.1
"Jun 07, 2018",1298.7
"Jun 06, 2018",1297.1
"Jun 05, 2018",1297.5
"Jun 04, 2018",1293.1
"Jun 01, 2018",1294.8
"May 31, 2018",1300.1
"May 30, 2018",1301.5
"May 29, 2018",1298.7
"May 28, 2018",1297.6
"May 27, 2018",1298.3
"May 25, 2018",1303.3
"May 24, 2018",1303.7
"May 23, 2018",1289.3
"May 22, 2018",1291.7
"May 21, 2018",1290.2
"May 18, 2018",1290.2
"May 17, 2018",1288.2
"May 16, 2018",1290.2
"May 15, 2018",1288.9
"May 14, 2018",1316.5
"May 11, 2018",1319
"May 10, 2018",1320.8
"May 09, 2018",1311.3
"May 08, 2018",1312
"May 07, 2018",1312.2
"May 04, 2018",1312.7
"May 03, 2018",1310.7
"May 02, 2018",1302.6
"May 01, 2018",1303.8
"Apr 30, 2018",1316.2
"Apr 27, 2018",1320.3
"Apr 26, 2018",1316.3
"Apr 25, 2018",1321.2
"Apr 24, 2018",1331.4
"Apr 23, 2018",1322.5
"Apr 20, 2018",1336.7
"Apr 19, 2018",1346.8
"Apr 18, 2018",1351.2
"Apr 17, 2018",1347.2
"Apr 16, 2018",1347.5
"Apr 13, 2018",1344.8
"Apr 12, 2018",1338.4
"Apr 11, 2018",1356.5
"Apr 10, 2018",1342
"Apr 09, 2018",1336.3
"Apr 06, 2018",1331.9
"Apr 05, 2018",1324.3
"Apr 04, 2018",1335.8
"Apr 03, 2018",1332.8
"Apr 02, 2018",1342.1
"Mar 29, 2018",1322.8
"Mar 28, 2018",1324.2
"Mar 27, 2018",1341.3
"Mar 26, 2018",1354.4
"Mar 23, 2018",1349.3
"Mar 22, 2018",1326.6
"Mar 21, 2018",1320.7
"Mar 20, 2018",1311.1
"Mar 19, 2018",1316.8
"Mar 16, 2018",1311.3
"Mar 15, 2018",1316.8
"Mar 14, 2018",1324.4
"Mar 13, 2018",1325.9
"Mar 12, 2018",1319.4
"Mar 09, 2018",1322.4
"Mar 08, 2018",1319.9
"Mar 07, 2018",1326
"Mar 06, 2018",1333.6
"Mar 05, 2018",1318.1
"Mar 02, 2018",1321.1
"Mar 01, 2018",1302.9
"Feb 28, 2018",1315.5
"Feb 27, 2018",1315.5
"Feb 26, 2018",1330.7
"Feb 23, 2018",1328.2
"Feb 22, 2018",1330.6
"Feb 21, 2018",1330
"Feb 20, 2018",1328.8
"Feb 19, 2018",1347.8
"Feb 18, 2018",1350.5
"Feb 16, 2018",1353.2
"Feb 15, 2018",1352.1
"Feb 14, 2018",1355.5
"Feb 13, 2018",1328.1
"Feb 12, 2018",1324.2
"Feb 09, 2018",1313.1
"Feb 08, 2018",1316.9
"Feb 07, 2018",1311.6
"Feb 06, 2018",1326.1
"Feb 05, 2018",1333
"Feb 02, 2018",1333.7
"Feb 01, 2018",1344.3
"Jan 31, 2018",1339
"Jan 30, 2018",1335.4
"Jan 29, 2018",1339.8
"Jan 26, 2018",1351.6
"Jan 25, 2018",1362.4
"Jan 24, 2018",1355.9
"Jan 23, 2018",1335.7
"Jan 22, 2018",1330.9
"Jan 19, 2018",1331.9
"Jan 18, 2018",1326
"Jan 17, 2018",1338
"Jan 16, 2018",1335.4
"Jan 15, 2018",1341.8
"Jan 14, 2018",1337.4
"Jan 12, 2018",1333.4
"Jan 11, 2018",1320.6
"Jan 10, 2018",1317.4
"Jan 09, 2018",1311.7
"Jan 08, 2018",1318.6
"Jan 05, 2018",1320.3
"Jan 04, 2018",1319.4
"Jan 03, 2018",1316.2
"Jan 02, 2018",1313.7
"Jan 01, 2018",1308.7
"Dec 29, 2017",1306.3
"Dec 28, 2017",1294.1
"Dec 27, 2017",1287
"Dec 26, 2017",1284.1
"Dec 25, 2017",1277.9
"Dec 22, 2017",1275.4
"Dec 21, 2017",1267.3
"Dec 20, 2017",1266.1
"Dec 19, 2017",1260.7
"Dec 18, 2017",1262.2
"Dec 15, 2017",1254.3
"Dec 14, 2017",1253.8
"Dec 13, 2017",1245.4
"Dec 12, 2017",1238.5
"Dec 11, 2017",1243.7
"Dec 08, 2017",1245.2
"Dec 07, 2017",1249.8
"Dec 06, 2017",1262.8
"Dec 05, 2017",1261.6
"Dec 04, 2017",1274.3
"Dec 01, 2017",1278.8
"Nov 30, 2017",1273.2
"Nov 29, 2017",1282.1
"Nov 28, 2017",1294.7
"Nov 27, 2017",1293.8
"Nov 24, 2017",1286.7
"Nov 23, 2017",1291.66
"Nov 22, 2017",1291.6
"Nov 21, 2017",1281.1
"Nov 20, 2017",1274.6
"Nov 17, 2017",1295.8
"Nov 16, 2017",1277.4
"Nov 15, 2017",1276.5
"Nov 14, 2017",1281.5
"Nov 13, 2017",1277.3
"Nov 10, 2017",1272.4
"Nov 09, 2017",1285.6
"Nov 08, 2017",1281.6
"Nov 07, 2017",1273.7
"Nov 06, 2017",1279.4
"Nov 03, 2017",1266.5
"Nov 02, 2017",1274.9
"Nov 01, 2017",1274.1
"Oct 31, 2017",1267
"Oct 30, 2017",1274.1
"Oct 27, 2017",1268.5
"Oct 26, 2017",1266.3
"Oct 25, 2017",1275.4
"Oct 24, 2017",1275
"Oct 23, 2017",1277.7
"Oct 20, 2017",1277.4
"Oct 19, 2017",1286.9
"Oct 18, 2017",1279.9
"Oct 17, 2017",1283
"Oct 16, 2017",1299.9
"Oct 13, 2017",1301.5
"Oct 12, 2017",1293.3
"Oct 11, 2017",1285.8
"Oct 10, 2017",1290.6
"Oct 09, 2017",1281.8
"Oct 06, 2017",1271.6
"Oct 05, 2017",1269.9
"Oct 04, 2017",1273.7
"Oct 03, 2017",1271.5
"Oct 02, 2017",1272.7
"Sep 29, 2017",1281.5
"Sep 28, 2017",1285.5
"Sep 27, 2017",1283.4
"Sep 26, 2017",1297
"Sep 25, 2017",1306.8
"Sep 22, 2017",1293.3
"Sep 21, 2017",1290.6
"Sep 20, 2017",1312
"Sep 19, 2017",1306.2
"Sep 18, 2017",1306.3
"Sep 15, 2017",1320.4
"Sep 14, 2017",1324.7
"Sep 13, 2017",1323.4
"Sep 12, 2017",1328
"Sep 11, 2017",1331
"Sep 08, 2017",1346
"Sep 07, 2017",1345.1
"Sep 06, 2017",1333.9
"Sep 05, 2017",1339.2
"Sep 04, 2017",1338.08
"Sep 03, 2017",1341.22
"Sep 01, 2017",1324.5
"Aug 31, 2017",1316.2
"Aug 30, 2017",1308.1
"Aug 29, 2017",1313.1
"Aug 28, 2017",1309.7
"Aug 25, 2017",1292.5
"Aug 24, 2017",1286.5
"Aug 23, 2017",1288.9
"Aug 22, 2017",1285.1
"Aug 21, 2017",1290.8
"Aug 18, 2017",1285.7
"Aug 17, 2017",1286.4
"Aug 16, 2017",1276.9
"Aug 15, 2017",1273.7
"Aug 14, 2017",1284.2
"Aug 11, 2017",1287.7
"Aug 10, 2017",1283.7
"Aug 09, 2017",1273
"Aug 08, 2017",1256.4
"Aug 07, 2017",1258.2
"Aug 04, 2017",1258.3
"Aug 03, 2017",1267.8
"Aug 02, 2017",1271.8
"Aug 01, 2017",1272.6
"Jul 31, 2017",1266.6
"Jul 28, 2017",1268.4
"Jul 27, 2017",1259.6
"Jul 26, 2017",1249
"Jul 25, 2017",1251.7
"Jul 24, 2017",1253.9
"Jul 21, 2017",1254.3
"Jul 20, 2017",1244.8
"Jul 19, 2017",1241.2
"Jul 18, 2017",1241.1
"Jul 17, 2017",1232.8
"Jul 14, 2017",1226.6
"Jul 13, 2017",1216.3
"Jul 12, 2017",1218.1
"Jul 11, 2017",1213.6
"Jul 10, 2017",1212.1
"Jul 07, 2017",1208.6
"Jul 06, 2017",1222.2
"Jul 05, 2017",1220.4
"Jul 04, 2017",1227.55
"Jul 03, 2017",1217.9
"Jun 30, 2017",1240.7
"Jun 29, 2017",1244.2
"Jun 28, 2017",1248
"Jun 27, 2017",1246.4
"Jun 26, 2017",1246.3
"Jun 23, 2017",1256.2
"Jun 22, 2017",1247.6
"Jun 21, 2017",1243.4
"Jun 20, 2017",1241
"Jun 19, 2017",1244.2
"Jun 16, 2017",1254
"Jun 15, 2017",1252.2
"Jun 14, 2017",1272.8
"Jun 13, 2017",1265.8
"Jun 12, 2017",1266.1
"Jun 09, 2017",1268.5
"Jun 08, 2017",1276.3
"Jun 07, 2017",1290.1
"Jun 06, 2017",1294.4
"Jun 05, 2017",1279.3
"Jun 02, 2017",1276.8
"Jun 01, 2017",1267
"May 31, 2017",1272
"May 30, 2017",1262.1
"May 29, 2017",1266.69
"May 28, 2017",1268.22
"May 26, 2017",1267.6
"May 25, 2017",1255.8
"May 24, 2017",1252.4
"May 23, 2017",1254.8
"May 22, 2017",1260.7
"May 19, 2017",1252.7
"May 18, 2017",1251.7
"May 17, 2017",1257.5
"May 16, 2017",1235
"May 15, 2017",1228.6
"May 12, 2017",1226.2
"May 11, 2017",1222.7
"May 10, 2017",1217.3
"May 09, 2017",1214.3
"May 08, 2017",1225.3
"May 05, 2017",1224.8
"May 04, 2017",1226.5
"May 03, 2017",1246.4
"May 02, 2017",1255.1
"May 01, 2017",1253.3
"Apr 28, 2017",1266.1
"Apr 27, 2017",1263.7
"Apr 26, 2017",1262.1
"Apr 25, 2017",1265.6
"Apr 24, 2017",1275.8
"Apr 21, 2017",1287.4
"Apr 20, 2017",1281.9
"Apr 19, 2017",1281.4
"Apr 18, 2017",1291.7
"Apr 17, 2017",1289.4
"Apr 14, 2017",1289.65
"Apr 13, 2017",1285.9
"Apr 12, 2017",1275.3
"Apr 11, 2017",1271.2
"Apr 10, 2017",1251.1
"Apr 07, 2017",1254.3
"Apr 06, 2017",1250.3
"Apr 05, 2017",1245.4
"Apr 04, 2017",1255
"Apr 03, 2017",1250.8
"Mar 31, 2017",1247.3
"Mar 30, 2017",1245
"Mar 29, 2017",1253.4
"Mar 28, 2017",1255.3
"Mar 27, 2017",1255.4
"Mar 24, 2017",1248.2
"Mar 23, 2017",1246.9
"Mar 22, 2017",1249.3
"Mar 21, 2017",1246.1
"Mar 20, 2017",1233.6
"Mar 17, 2017",1229.8
"Mar 16, 2017",1226.5
"Mar 15, 2017",1200.1
"Mar 14, 2017",1201.9
"Mar 13, 2017",1202.4
"Mar 10, 2017",1200.7
"Mar 09, 2017",1202.4
"Mar 08, 2017",1208.5
"Mar 07, 2017",1215.1
"Mar 06, 2017",1224.5
"Mar 03, 2017",1225.5
"Mar 02, 2017",1231.9
"Mar 01, 2017",1248.9
"Feb 28, 2017",1252.6
"Feb 27, 2017",1257.4
"Feb 24, 2017",1256.9
"Feb 23, 2017",1250.2
"Feb 22, 2017",1232
"Feb 21, 2017",1237.5
"Feb 20, 2017",1238.2
"Feb 19, 2017",1237.3
"Feb 17, 2017",1237.6
"Feb 16, 2017",1240
"Feb 15, 2017",1231.7
"Feb 14, 2017",1223.9
"Feb 13, 2017",1224.4
"Feb 10, 2017",1234.4
"Feb 09, 2017",1235.1
"Feb 08, 2017",1237.6
"Feb 07, 2017",1234.2
"Feb 06, 2017",1230
"Feb 03, 2017",1218.5
"Feb 02, 2017",1216.7
"Feb 01, 2017",1205.6
"Jan 31, 2017",1208.6
"Jan 30, 2017",1193.2
"Jan 27, 2017",1188.1
"Jan 26, 2017",1189.5
"Jan 25, 2017",1197.3
"Jan 24, 2017",1210.3
"Jan 23, 2017",1215
"Jan 20, 2017",1204.3
"Jan 19, 2017",1200.9
"Jan 18, 2017",1211.3
"Jan 17, 2017",1212
"Jan 16, 2017",1202.85
"Jan 15, 2017",1203.35
"Jan 13, 2017",1195.3
"Jan 12, 2017",1198.9
"Jan 11, 2017",1195.6
"Jan 10, 2017",1184.2
"Jan 09, 2017",1183.5
"Jan 06, 2017",1171.9
"Jan 05, 2017",1179.7
"Jan 04, 2017",1163.8
"Jan 03, 2017",1160.4
"Jan 02, 2017",1151.05
"Dec 30, 2016",1150
"Dec 29, 2016",1156.4
"Dec 28, 2016",1139.4
"Dec 27, 2016",1137.3
"Dec 26, 2016",1134.55
"Dec 25, 2016",1135
"Dec 23, 2016",1131.9
