Date,Price
"08-01-2018",1216.6
"07-31-2018",1223.7
"07-30-2018",1221.3
"07-27-2018",1222.2
"07-26-2018",1225.3
"07-25-2018",1233
"07-24-2018",1225.3
"07-23-2018",1224
"07-20-2018",1229.5
"07-19-2018",1222.4
"07-18-2018",1226.3
"07-17-2018",1225.7
"07-16-2018",1238.1
"07-13-2018",1239.6
"07-12-2018",1245
"07-11-2018",1242.8
"07-10-2018",1253.8
"07-09-2018",1258.1
"07-06-2018",1254.3
"07-05-2018",1257.3
"07-04-2018",1258.1
"07-03-2018",1251.6
"07-02-2018",1239.8
"06-29-2018",1251.3
"06-28-2018",1247.8
"06-27-2018",1252.8
"06-26-2018",1256.6
"06-25-2018",1265.6
"06-22-2018",1267.4
"06-21-2018",1267.2
"06-20-2018",1271.2
"06-19-2018",1275.6
"06-18-2018",1276.2
"06-15-2018",1274.6
"06-14-2018",1304
"06-13-2018",1296.9
"06-12-2018",1295.1
"06-11-2018",1298.9
"06-08-2018",1298.1
"06-07-2018",1298.7
"06-06-2018",1297.1
"06-05-2018",1297.5
"06-04-2018",1293.1
"06-01-2018",1294.8
"05-31-2018",1300.1
"05-30-2018",1301.5
"05-29-2018",1298.7
"05-28-2018",1297.6
"05-27-2018",1298.3
"05-25-2018",1303.3
"05-24-2018",1303.7
"05-23-2018",1289.3
"05-22-2018",1291.7
"05-21-2018",1290.2
"05-18-2018",1290.2
"05-17-2018",1288.2
"05-16-2018",1290.2
"05-15-2018",1288.9
"05-14-2018",1316.5
"05-11-2018",1319
"05-10-2018",1320.8
"05-09-2018",1311.3
"05-08-2018",1312
"05-07-2018",1312.2
"05-04-2018",1312.7
"05-03-2018",1310.7
"05-02-2018",1302.6
"05-01-2018",1303.8
"04-30-2018",1316.2
"04-27-2018",1320.3
"04-26-2018",1316.3
"04-25-2018",1321.2
"04-24-2018",1331.4
"04-23-2018",1322.5
"04-20-2018",1336.7
"04-19-2018",1346.8
"04-18-2018",1351.2
"04-17-2018",1347.2
"04-16-2018",1347.5
"04-13-2018",1344.8
"04-12-2018",1338.4
"04-11-2018",1356.5
"04-10-2018",1342
"04-09-2018",1336.3
"04-06-2018",1331.9
"04-05-2018",1324.3
"04-04-2018",1335.8
"04-03-2018",1332.8
"04-02-2018",1342.1
"03-29-2018",1322.8
"03-28-2018",1324.2
"03-27-2018",1341.3
"03-26-2018",1354.4
"03-23-2018",1349.3
"03-22-2018",1326.6
"03-21-2018",1320.7
